文件全称,失败次数
中华人民共和国报废机动车回收管理办法,1
中华人民共和国国家排放标准,1
国家有关标准或者要求,1
中华人民共和国国务院生态环境主管部门会同国务院气象主管机构等有关部门,1
国家大气污染防治重点区域内有关省、自治区、直辖市人民政府,1
省、自治区、直辖市、设区的市人民政府生态环境主管部门会同气象主管机构等有关部门,1
中华人民共和国国家有关标准和规定,1
中华全国妇女联合会章程,1
其他有关安全生产的法律、法规,1
中华人民共和国国务院人力资源和社会保障部门、国务院应急管理部门会同国务院有关部门制定的注册安全工程师分类管理办法,1
国务院应急管理部门会同国务院财政部门、国务院保险监督管理机构和相关行业主管部门制定的具体范围和实施办法,1
中华人民共和国安全生产监督管理部门相关职责规定,1
国务院应急管理部门会同国务院有关部门规定的其他危险作业,1
国务院关于生产安全事故划分标准的规定,1
中华人民共和国全国人民代表大会,1
中华人民共和国全国人民代表大会常务委员会组织法,1
中华人民共和国其他法律,1
全国人民代表大会常务委员会,1
省或者自治区的人民代表大会常务委员会,1
国务院有关部门关于广告时长与方式的规定,1
国务院卫生行政部门和国务院药品监督管理部门共同指定的医学、药学专业刊物,1
中华人民共和国国务院药品监督管理部门批准的说明书,1
地方性法规、地方政府规章,1
国务院关于部门职责分工的有关规定,1
中华人民共和国国务院环境保护行政主管部门,1
中华人民共和国国务院其他有关部门,1
国务院关于放射性物质运输污染防治的具体办法,1
中华人民共和国国家建筑材料放射性核素控制标准,1
中华人民共和国国务院有关核设施安全监督管理的规定,1
国务院环境保护行政主管部门指定的国外有关标准,1
国务院有关放射性同位素与射线装置放射防护的规定,1
国务院环境保护行政主管部门关于放射性废物管理的相关规定,1
中华人民共和国国务院环境保护行政主管部门相关规定,1
国务院关于放射性固体废物贮存处置许可的具体办法,1
国家数据安全工作协调机制,1
国家网信部门会同国务院有关部门制定,1
中华人民共和国主管机关,1
国务院期货监督管理机构制定的相关规定,1
中华人民共和国期货交易场所管理办法,1
国务院期货监督管理机构制定的管理办法,1
国务院期货监督管理机构制定的有关期货交易管理规定,1
国务院期货监督管理机构制定的有关期货交易报告制度的规范性文件,1
国务院期货监督管理机构制定的有关期货保证金管理的规定,1
中华人民共和国国务院期货监督管理机构相关规定,1
期货交易场所相关制度文件,1
国务院期货监督管理机构关于期货市场管理的相关规定,1
国家及期货行业信息安全相关的技术管理规定和标准,1
国务院期货监督管理机构、国务院财政部门制定的相关规定,1
国务院期货监督管理机构制定的有关规定,1
国务院期货监督管理机构与境外期货监督管理机构达成的监管合作安排,1
国务院有关主管部门,1
国务院期货监督管理机构有关规定,1
国务院、中央军事委员会另有规定,1
中华人民共和国国务院公安部门关于枪支序号编制的规定,1
中华人民共和国国务院公安部门相关规定,1
中华人民共和国国务院体育行政主管部门,1
中华人民共和国国务院有关行政主管部门,1
国务院有关行政主管部门,1
中华人民共和国国务院标准化协调机制,1
国务院、中央军事委员会另行制定的军用标准管理办法,1
中华人民共和国缔结或者参加的国际公约,1
中华人民共和国核安全标准,1
中华人民共和国核安全法律、行政法规和标准,1
中华人民共和国有关核设施出口管制的规定,1
铁路危险货物运输管理规定,1
中华人民共和国国务院核工业主管部门,1
国家核事故应急协调委员会,1
中华人民共和国省、自治区、直辖市人民政府指定的部门,1
国务院核工业主管部门、核安全监督管理部门和省、自治区、直辖市人民政府指定的部门,1
国务院核安全监督管理部门制定的具体办法,1
核设施所在地省、自治区、直辖市人民政府指定的部门,1
中华人民共和国其他有关部门,1
中华人民共和国核损害责任制度,1
中华人民共和国国家技术标准、规范和规程,1
中华人民共和国反恐怖主义法,1
国家统一法律职业资格考试,1
中华人民共和国财政部关于统一制发财政票据的通知,1
民用爆炸物品安全管理条例,1
有关船舶检验的法律、行政法规,1
有关船舶登记的法律、行政法规,1
国务院交通运输主管部门发布的相关规定,1
国务院交通运输主管部门关于船舶保安制度的相关规定,1
中华人民共和国驻外使馆领事保护与协助条例,1
中华人民共和国国务院交通运输主管部门拟定并报国务院批准后公布,1
中华人民共和国国家无线电管理机构,1
有关海事管理机构,1
国务院关于船舶进出口岸的规定,1
中华人民共和国法律、行政法规和规章,1
国务院交通运输主管部门关于海上交通事故调查处理的有关规定,1
中华人民共和国海事管理机构管理条例,1
中华人民共和国县级以上人民政府渔业渔政主管部门,1
中华人民共和国国务院批准文件,1
省、自治区、直辖市人民政府关于海域使用管理的相关规定,1
中华人民共和国国务院关于渔民使用海域从事养殖活动收取海域使用金的具体实施步骤和办法,1
中华人民共和国人民政府财政部门和海洋行政主管部门,1
中华人民共和国国土空间规划法,1
中华人民共和国国家海洋环境质量标准,1
海洋环境质量标准,1
中华人民共和国国务院发展改革部门、国务院财政主管部门会同国务院生态环境主管部门制定的具体办法,1
全国公共信用信息共享平台,1
国家和地方的有关规定、标准,1
中华人民共和国国务院关于加强入海污染物排放管控的有关规定,1
中华人民共和国国家和地方有关排放标准,1
中国人民武装警察部队海警总队,1
有关法律法规和标准,1
中华人民共和国人民政府,1
中华人民共和国缔结或者参加的与海洋环境保护有关的国际条约,1
中华人民共和国国家污染物排放标准,1
有关民事、刑事法律,1
中华人民共和国国务院自然资源部、水行政主管部门、住房城乡建设部、生态环境部、农业农村部等有关部门,1
中华人民共和国县级以上地方人民政府授权的部门,1
中华人民共和国海域使用管理法,1
中华人民共和国土地管理法,1
中华人民共和国生物安全法,1
国家有关安全技术咨询与专业机构管理规定,1
特种设备安全技术规范,1
中华人民共和国安全技术规范,1
其他有关法律,1
国家环境保护规划,1
城乡规划法,1
国家环境监测规范,1
国家有关环境保护监测规范和规定,1
中华人民共和国省、自治区、直辖市人民政府生态环境主管部门规定,1
中华人民共和国全国人民代表大会组织法,1
有关环境保护法律法规,1
中华人民共和国国务院标准化主管部门和国务院其他有关部门,1
国家生物安全工作协调机制,1
国务院其他有关部门,1
国务院卫生健康、农业农村主管部门制定的具体管理办法,1
中华人民共和国生物安全法相关配套管理办法,1
国家其他有关保密规定,1
中华人民共和国进出口监督管理法律、行政法规和国家有关规定,1
中华人民共和国法律、行政法规和国家有关规定,1
快递市场管理办法,1
中华人民共和国支付结算办法,1
中华人民共和国电子单证管理规定,1
中华人民共和国国家有关电子认证业务规则规定,1
中华人民共和国国务院信息产业主管部门规定,1
国务院信息产业主管部门关于电子认证服务业务承接的管理规定,1
药品生产质量管理规范,1
中华人民共和国国务院财政部门会同国务院价格主管部门制定的具体办法,1
省、自治区、直辖市人民政府价格主管部门会同财政部门制定收费标准的相关规定,1
国务院药品监督管理部门、卫生健康主管部门、生态环境主管部门发布的相关规定,1
预防接种工作规范,1
国务院卫生健康主管部门制定的有关疫苗接种信息记录的规定,1
国务院卫生健康主管部门制定的鉴定办法,1
国务院药品监督管理部门有关变更管理的规定,1
国家信用信息共享平台管理办法,1
行业技术规范,1
中华人民共和国矿产资源法实施细则,1
中华人民共和国行政法规制定程序条例,1
国务院财政、税务主管部门发布的有关帐簿、凭证管理的规范性文件,1
国务院财政、税务主管部门有关税收的规定,1
中华人民共和国省、自治区、直辖市国家税务局、地方税务局,1
中华人民共和国国库条例,1
全国统一格式的检查存款帐户许可证明,1
中华人民共和国同外国缔结的有关税收的条约、协定,1
中华人民共和国国务院关于政府粮食储备管理的有关规定,1
中华人民共和国国家发展和改革委员会关于政府粮食储备操作管理的有关规定,1
有关行政法规,1
中华人民共和国建设项目职业病危害分类管理办法,1
中华人民共和国国务院卫生行政部门相关规定,1
中华人民共和国国家有关进口管理的行政规定,1
中华人民共和国国务院卫生行政部门制定的职业健康检查管理办法,1
中华人民共和国医疗机构管理条例,1
中华人民共和国国务院卫生行政部门关于职业病诊断管理办法,1
中华人民共和国劳动争议调解仲裁法,1
中华人民共和国国务院卫生行政部门颁布的职业病诊断标准和职业病诊断、鉴定办法,1
中华人民共和国社会保险法,1
国务院、中央军事委员会制定的中国人民解放军参照执行本法的办法,1
中华人民共和国国民经济和社会发展规划,1
国土空间规划,1
法律、行政法规和国家有关规定,1
中华人民共和国法律、中华人民共和国行政法规、国家有关规定,1
国家科技发展和高技术产业发展相关规划,1
国家和军队有关规定,1
国家对核能开发利用另有规定,1
中华人民共和国缔结或者参加的涉及能源的国际条约,1
中华人民共和国国务院市场监督管理部门和国务院管理节能工作的部门共同授权的机构,1
中华人民共和国节能产品认证管理办法,1
产业结构调整指导目录,1
中华人民共和国国务院关于授权制定行政措施的决定,1
国家有关上网电价规定,1
国务院药品监督管理部门、国务院卫生健康主管部门共同制定的药物临床试验机构备案管理办法,1
中华人民共和国国务院中医药主管部门,1
中华人民共和国药典,1
中华人民共和国国家药品标准,1
国务院药品监督管理部门关于药品网络交易第三方平台备案的规定,1
中华人民共和国国务院药品监督管理部门相关规定,1
中华人民共和国省、自治区、直辖市人民政府药品监督管理部门,1
国务院药品监督管理部门制定的药品生产变更管理相关规定,1
中华人民共和国国务院药品监督管理部门核准的药品说明书,1
中华人民共和国国务院关于药品质量抽查检验费用列支的规定,1
中华人民共和国国务院关于麻醉药品、精神药品、医疗用毒性药品、放射性药品、药品类易制毒化学品特殊管理的规定,1
中华人民共和国国务院关于著作权集体管理组织设立与运行的行政法规,1
国家著作权主管部门认定的登记机构,1
国家著作权主管部门会同有关部门制定的付酬标准,1
中华人民共和国国务院令,1
侵权或者违约行为发生时的有关规定,1
中华人民共和国国家计量检定系统表,1
中华人民共和国地方计量检定规程,1
中华人民共和国国务院计量行政部门,1
中华人民共和国国务院计量行政部门制定的计量监督员管理办法,1
中华人民共和国国务院批准施行决定,1
中华人民共和国机动车国家安全技术标准,1
中华人民共和国道路交通安全法实施条例,1
中华人民共和国国务院公安部门规定,1
中华人民共和国国家标准 GB 5768-2022 道路交通标志和标线,1
中华人民共和国交通警察,1
中华人民共和国机动车第三者责任强制保险条例,1
道路交通事故社会救助基金管理规定,1
机动车驾驶证管理规定,1
中华人民共和国县级以上地方人民政府水行政主管部门,1
中华人民共和国长江流域有关地方人民政府及其有关部门,1
中华人民共和国长江流域水环境质量标准,1
长江流域生态环境监督管理机构,1
中华人民共和国国务院关于退捕渔民安置工作的指导意见,1
中华人民共和国国务院令第XXX号,1
中华人民共和国污染物排放标准和有关规定,1
沿海省、自治区、直辖市人民政府环境保护行政主管部门规定的审批程序,1
县级以上地方人民政府环境保护行政主管部门,1
中华人民共和国国家和地方规定的排放标准和有关规定,1
国家食品安全风险监测计划,1
食品安全风险评估专家委员会,1
中华人民共和国国家中医药管理部门,1
保健食品原料目录,1
中华人民共和国食品安全标准和检验规范,1
中华人民共和国国务院认证认可监督管理条例,1
中华人民共和国国家快速检测方法标准,1
国家出入境检验检疫局,1
中华人民共和国农业行政部门,1
中华人民共和国国家出入境检验检疫部门,1
国家出入境检验检疫部门,1
中华人民共和国县级以上人民政府食品安全监督管理、农业行政部门,1
省、自治区、直辖市制定的具体管理办法,1
中华人民共和国中央军事委员会,1
国务院关于严格控制新增建设用地的决定,1
中华人民共和国黄河流域省级人民政府,1
山东省人民政府,1
黄河流域生态环境监督管理机构,1
黄河流域县级以上地方人民政府,1
中华人民共和国国务院水行政主管部门或者黄河流域管理机构,1
中华人民共和国工业和信息化部关于发布国家鼓励的工业节水工艺、技术和装备目录的公告,1
中华人民共和国国家防汛抗旱指挥机构,1
中华人民共和国国务院水行政主管部门,1
中华人民共和国水污染物排放总量控制措施,1
中华人民共和国消除黑臭水体,1
中华人民共和国国务院卫生健康等主管部门,1
中华人民共和国黄河流域县级以上地方人民政府及其有关部门,1
中华人民共和国国务院文化和旅游主管部门,1
中华人民共和国黄河流域县级以上地方人民政府有关部门,1
国务院及云南省住房城乡建设行政主管部门发布的有关建设工程勘察设计资质与执业资格管理的规范性文件,1
中华人民共和国有关行政主管部门,1
国家建设工程勘察、设计收费标准,1
国务院住房城乡建设行政主管部门关于大、中型建设工程和技术复杂小型建设工程范围的有关规定,1
中华人民共和国国务院住房城乡建设行政主管部门统一印制的建设工程施工图设计文件审查证书,1
中华人民共和国国务院有关部门关于交通、水利建设工程施工图设计文件审查的规定,1
云南省有关主管部门,1
中华人民共和国国家有关医疗美容服务管理规定,1
中华人民共和国国务院发布的《医疗事故处理条例》,1
云南省保护消费者权益条例,1
中华人民共和国地理标志专用标志管理办法,1
建水紫陶制作技艺专业技术资格评审条件,1
云南省人民代表大会常务委员会,1
农药产品标签或者说明书、产品质量合格证,1
江苏省农业行政主管部门认定的农药检定机构,1
中华人民共和国农业相关部门,1
最高人民法院关于审理非法出版物刑事案件具体应用法律若干问题的解释,1
中华人民共和国专利法第五十九条第一款,1
中华人民共和国商标法修改决定,1
中华人民共和国反垄断法第十七条第一款,1
其他法律、行政法规的强制性规定,1
中华人民共和国反垄断法实施条例,1
最高人民法院关于民事诉讼证据的若干规定,1
与公益诉讼有关的法律和司法解释,1
假定垄断者测试方法,1
国务院反垄断执法机构制定的相关规定,1
中华人民共和国反垄断法第六十条,1
中华人民共和国反垄断法（2022年修正）,1
最高人民法院关于审理因垄断行为引发的民事纠纷案件应用法律若干问题的规定,1
中华人民共和国著作权法实施条例,1
中华人民共和国著作权法第十一条第三款,1
国家有关部门关于律师服务收费的相关规定,1
最高人民法院关于审查知识产权纠纷行为保全案件适用法律若干问题的规定,1
浙江省专利保护条例,1
地方标准,1
国家与浙江省人民政府发布的有关职责规定文件,1
浙江省查处生产和经销假冒伪劣商品行为条例,1
浙江省产品质量监督管理条例,1
中华人民共和国国家和省有关政府定价管理的法律法规及规范性文件,1
中华人民共和国专业机构参与政府定价调查的相关管理办法,1
相关商品、服务定价成本监审办法,1
中华人民共和国国家和浙江省有关价格鉴定的具体规定,1
中华人民共和国本级人民政府组织法及相关行政决策程序规定,1
中华人民共和国公共数据分类分级指南（国家和省层面）,1
中华人民共和国公共数据平台安全管理规范,1
浙江省公共数据和电子政务管理办法,1
中华人民共和国法律、行政法规、国家标准、行业技术规范等,1
中华人民共和国国家有关工程建设资质管理的行政法规及规章,1
国务院关于加强和规范事中事后监管的指导意见,1
中华人民共和国行政主管部门职责法,1
中华人民共和国国家和浙江省相关优惠待遇规定,1
浙江省促进科技成果转化条例,1
浙江省标准化管理条例,1
浙江省地方标准管理办法,1
浙江省一体化智能化公共数据平台,1
反垄断有关法律、行政法规,1
中华人民共和国特殊标志管理条例,1
中华人民共和国宪法、中华人民共和国立法法、中华人民共和国信息化促进法（如存在）等有关法律、法规,1
中华人民共和国国家标准、行业标准及地方标准,1
中华人民共和国国务院关于信息工程相关资质管理的规定,1
中华人民共和国依法认定的信息安全专用产品管理办法,1
重庆市人民政府关于产品质量举报奖励办法的规定,1
监督检查计划,1
重庆市人民政府关于产品质量监督抽查程序的具体办法,1
重庆市质量技术监督局职能配置、内设机构和人员编制规定,1
重庆市产品质量监督管理条例,1
中华人民共和国国家价格鉴证机构,1
国务院住房城乡建设主管部门有关规定,1
建设工程勘察设计资质管理规定,1
中华人民共和国住房和城乡建设部关于建设工程资质审批的有关规定,1
中华人民共和国住房和城乡建设部关于注册审批权限的有关规定,1
经批准的上一阶段勘察、设计文件,1
批准的专业规划,1
中华人民共和国禁止或淘汰使用产品目录,1
中华人民共和国住房和城乡建设部关于建设工程技术标准管理的有关规定,1
国务院住房城乡建设主管部门关于大、中型建设工程和技术复杂小型建设工程范围的有关规定,1
国务院住房城乡建设主管部门关于施工图设计文件审查的相关规定,1
国务院有关部门关于交通、水利建设工程施工图设计文件审查的相关规定,1
中华人民共和国国家和本市禁止、淘汰的技术或产品目录,1
重庆市工商行政管理局,1
中华人民共和国农田灌溉水质标准,1
中华人民共和国同级水行政、国土资源、卫生、建设等部门,1
中华人民共和国有关流域管理机构,1
中华人民共和国水污染防治法及其实施细则,1
国务院专利行政部门与国家国防专利机构主管机关联合制定管理办法,1
中华人民共和国国家保密法,1
中华人民共和国国务院专利行政部门规定,1
中华人民共和国国务院专利行政部门相关规定,1
中华人民共和国专利公报,1
中华人民共和国国务院专利行政部门公布的外观设计产品分类表,1
中华人民共和国国务院专利行政部门备案管理办法,1
中华人民共和国国务院发展改革部门、财政部门会同国务院专利行政部门关于专利费用标准的规定,1
中华人民共和国国务院财政部门、发展改革部门会同国务院专利行政部门关于专利费用调整的规定,1
中华人民共和国国务院财政部门会同国务院发展改革部门、国务院专利行政部门规定,1
中华人民共和国证券法实施条例,1
公司债券募集办法,1
证券交易所的业务规则,1
中华人民共和国证券交易所管理办法,1
中华人民共和国国务院授权的部门的决定,1
证券交易所上市规则,1
国务院证券监督管理机构制定的有关信息披露与交易限制的规范性文件,1
中华人民共和国证券交易场所,1
中华人民共和国国务院证券监督管理机构规定,1
中国证券登记结算有限责任公司,1
证券登记结算机构,1
国务院证券监督管理机构会同国务院财政部门规定,1
国务院的有关规定,1
质量技术监督法律法规,1
国务院赋予的职责,1
工业产品生产许可证试行条例,1
罚款决定与罚款收缴分离实施办法,1
党政机关厉行节约反对浪费条例,1
行政处罚法,1
中华人民共和国航道法,1
国内水路运输管理条例,1
全国人民代表大会常务委员会关于加强网络信息保护的决定,1
电力供应与使用条例,1
电网调度管理条例,1
实施卫生和植物卫生措施协定,1
实施卫生与植物卫生措施协定,1
国际植物保护公约,1
中华人民共和国信托法,1
山东省水资源条例,1
中华人民共和国担保法,1
中华人民共和国内河交通安全管理条例,1
企业国有资产监督管理暂行条例,1
中华人民共和国煤炭法,1
土壤污染防治行动计划,1
水污染防治法实施细则,1
汽车产业发展政策,1
汽车维修质量管理办法,1
中共中央 国务院关于深入打好污染防治攻坚战的意见,1
新污染物治理行动方案,1
国家互联网信息办公室关于个人信息出境标准合同的有关规定,1
个人信息出境安全评估办法,1
个人信息出境标准合同,1
个人信息保护影响评估报告,1
中华人民共和国个人信息保护认证规则,1
中华人民共和国国家市场监督管理总局与国家互联网信息办公室关于建立个人信息出境认证信息共享机制的通知,1
全国认证认可信息公共服务平台,1
中华人民共和国国家互联网信息办公室,1
中华人民共和国国家数据局,1
中华人民共和国国家法律、行政法规有关保密的规定,1
中华人民共和国国家国防科技工业局,1
地方人民政府安全生产监督管理部门信息通报制度,1
标准档案管理相关规定,1
中华人民共和国国务院标准化行政主管部门有关规定,1
省级质量技术监督局或直属出入境检验检疫局,1
中华人民共和国地理标志产品保护具体办法,1
原国家出入境检验检疫局公布的《原产地标记管理规定实施办法》,1
中华人民共和国安全技术防范产品目录,1
中华人民共和国国家有关安全认证制度的规定,1
安全技术防范产品生产登记批准管理办法,1
中华人民共和国法律、行政法规、部门规章及国家标准,1
安全评价机构管理规定,1
中华人民共和国国务院关于进一步加强企业安全生产工作的通知,1
国家标准局和省、自治区、直辖市标准化管理部门制定的具体办法,1
有关法律、行政法规的规定,1
国家安全生产应急救援指挥中心工作职责规定,1
中华人民共和国章程,1
生产经营单位安全培训规定,1
国务院赋予国家质量监督检验检疫总局的职责,1
中华人民共和国法律、中华人民共和国行政法规、国务院规范性文件,1
全国防伪技术产品管理办公室,1
各省、自治区、直辖市质量技术监督部门,1
防伪技术专家委员会,1
国家防伪技术产品管理办公室,1
防伪技术产品生产企业,1
原国家技术监督局1996年1月公布的《防伪技术产品管理办法（试行）》,1
中华人民共和国行业自律标准、中华人民共和国指导性标准,1
中华人民共和国特种作业操作证,1
中华人民共和国负责培训考核的部门,1
中华人民共和国登记管理机关,1
中华人民共和国财政部罚款代收代缴管理办法,1
中华人民共和国财政部 中国人民银行关于代收罚款手续费有关问题的通知,1
罚款票据管理暂行规定,1
违反行政事业性收费和罚没收入收支两条线管理规定行政处分暂行规定,1
网络运营者与儿童监护人之间的协议或合同,1
中华人民共和国相关规范性文件,1
国务院管理节能工作的部门会同国务院有关部门制定的有关规定,1
交通行业实施节约能源法细则,1
中华人民共和国信息公开申请表,1
中华人民共和国国家发展和改革委员会关于印发<政府信息公开信息处理费管理办法>的通知,1
安全生产工作国家秘密范围的规定,1
信访条例,1
煤矿安全监察行政处罚自由裁量实施标准（试行）,1
安全生产监管监察职责和行政执法责任追究的暂行规定,1
公路水运工程质量检测管理信息系统,1
中华人民共和国交通运输部规定的统一格式,1
中华人民共和国交通运输部令2019年第38号 交通运输部关于修改〈公路水运工程试验检测管理办法〉的决定,1
中华人民共和国行政复议法及其实施条例,1
国家煤矿安全监察局统一制定的文书式样,1
中华人民共和国煤矿安全监察行政复议规定,1
中华人民共和国法律、中华人民共和国行政法规和国家强制性标准,1
工程交工质量核验意见,1
中华人民共和国建设工程质量监督机构,1
中华人民共和国公路工程质量监督规定,1
中华人民共和国国家知识产权局专利电子申请系统用户注册协议,1
中华人民共和国专利审查指南,1
中华人民共和国专利法及其实施细则和中华人民共和国专利审查指南,1
中华人民共和国国家知识产权局令第三十五号发布的《关于电子专利申请的规定》,1
中华人民共和国与台湾地区有关知识产权保护的协议,1
中华人民共和国现行法律、法规、规章,1
关于台胞申请专利手续中若干问题的处理办法,1
中华人民共和国专利法及其实施细则,1
专利代理惩戒规则（暂行）,1
中华人民共和国交通运输部有关规定,1
中华人民共和国交通运输部制定的内河运输船舶标准船型指标体系,1
内河运输船舶标准船型指标体系,1
中华人民共和国交通运输部关于公布淘汰船舶名录的通知,1
中华人民共和国船舶检验管理规定,1
中华人民共和国交通部令2001年第8号公布的《内河运输船舶标准化管理规定》,1
缺陷汽车产品召回信息管理系统,1
市场监督管理部门有关投诉举报处理的规定,1
国家企业信用信息公示系统管理规定,1
强制性国家标准,1
中华人民共和国原国家质量监督检验检疫总局令第150号,1
国家市场监督管理总局制定的《工业产品生产单位质量安全管理人员考核指南》,1
中华人民共和国工业和信息化部关于农业机械工业产业政策的制定与实施办法,1
中华人民共和国三包凭证、维护和修理记录、购机发票,1
中华人民共和国国家质量监督检验检疫总局、中华人民共和国国家工商行政管理总局、中华人民共和国农业部、中华人民共和国工业和信息化部,1
GB 5296.3-2008 消费品使用说明 第3部分：化妆品,1
国家质量监督检验检疫总局有关规定,1
全国排污许可证管理信息平台管理规定,1
固定污染源排污许可分类管理名录（2017年版）,1
国家市场监督管理总局制定的《工业产品销售单位质量安全管理人员考核指南》,1
国家发展和改革委员会、环境保护部、工业和信息化部发布的《废弃电器电子产品处理目录》,1
中华人民共和国淘汰落后生产能力、工艺和产品的目录,1
中华人民共和国环境保护部关于废弃电器电子产品处理数据报送与信息公开的管理规定,1
其他相关法律法规,1
中华人民共和国国务院住房城乡建设主管部门,1
中华人民共和国建设部关于安全生产许可证申请表统一式样的规定,1
中华人民共和国国务院安全生产监督管理部门关于安全生产许可证统一式样的规定,1
有关规范、规程,1
中华人民共和国法律、行政法规和国家标准,1
建设工程质量检测管理办法（建设部令第141号）,1
中华人民共和国商标法、中华人民共和国反不正当竞争法、中华人民共和国行政处罚法等,1
中华人民共和国国家有关工程质量保修的法律法规和标准规范,1
中央军事委员会有关规定,1
中华人民共和国林木种子质量标准,1
各省、自治区、直辖市林业主管部门统一规定,1
中华人民共和国毛绒纤维质量公证检验管理办法,1
中华人民共和国禁止使用设备目录,1
原国家技术监督局、国家经济贸易委员会、国家计划委员会、农业部、纺织工业部、商业部联合发布的《羊毛质量监督管理办法》,1
中华人民共和国法律、行政法规和部门规章,1
民用航空行业标准管理办法,1
中华人民共和国法律、中华人民共和国行政法规、国务院标准化管理部门规章及规范性文件,1
中华人民共和国国家工程建设标准化管理的有关规定,1
中国民用航空标准化管理规定,1
国家安全生产监督管理总局规定,1
中华人民共和国国家安全生产监督管理总局有关规定,1
中华人民共和国国家有关危险物品管理的行政法规或规章,1
SY/T 6900-2012 海上石油设施安全评估规范,1
其他有关政府部门,1
原石油工业部1986年颁布的《海洋石油作业安全管理规定》,1
企业名称登记管理规定,1
中华人民共和国增值税暂行条例及其实施细则,1
增值税专用发票使用管理规定,1
发、供电企业税收检查情况通报单,1
中华人民共和国电力安全事故应急处置和调查处理条例,1
原国家电力监管委员会《电力安全生产监管办法》,1
中华人民共和国国家标准或行业标准,1
中华人民共和国省、自治区、直辖市工业和信息化主管部门和其他相关主管部门,1
中华人民共和国进出境检验检疫条例,1
电器电子产品有害物质限制使用限量要求,1
中华人民共和国工业和信息化部职能配置、内设机构和人员编制规定,1
中华人民共和国财政部职能配置、内设机构和人员编制规定,1
中华人民共和国电子信息产品污染控制管理办法,1
中华人民共和国地方电子废物拆解利用处置设施建设规划,1
国家环境保护总局制定的有关技术规范,1
中华人民共和国国家环境保护总局,1
中华人民共和国有关法律、行政法规或者规章,1
无照经营查处取缔办法,1
中华人民共和国国务院关于落实科学发展观加强环境保护的决定,1
中华人民共和国国家法律法规、政策文件,1
中华人民共和国国家能源局派出机构,1
国家能源局关于加强电能质量监督管理的指导意见,1
国家能源局关于电能质量信息报送内容和程序的规定,1
国家能源局及其派出机构、地方各级电力管理部门,1
其他电能质量相关国家标准,1
原电力工业部发布的《电网电能质量技术监督管理规定》,1
国家粮食和储备行政管理部门制定的相关规定,1
国家粮食质量安全风险监测管理规定,1
本级人民政府,1
中华人民共和国国家标准和相关政策文件,1
省级以上粮食和储备行政管理部门,1
县级以上地方粮食和储备行政管理部门,1
中华人民共和国安全生产有关规定,1
国家粮食和储备行政管理部门关于快速检测方法认可的相关规定,1
中华人民共和国国家标准 粮食质量安全检验方法,1
中华人民共和国粮食和储备行政管理部门,1
国家粮食和储备行政管理部门年度监督抽查计划,1
中华人民共和国实行能源效率标识的产品目录,1
中华人民共和国国家质量监督检验检疫总局和中华人民共和国国家发展和改革委员会授权的中国标准化研究院,1
中华人民共和国国家统一规定的能效标识样式、规格以及标注规定,1
中华人民共和国能源效率强制性国家标准,1
中华人民共和国国家发展和改革委员会、中华人民共和国国家质量监督检验检疫总局令第17号发布的《能源效率标识管理办法》,1
中华人民共和国国家发展和改革委员会,1
中华人民共和国各地出入境检验检疫机构,1
中华人民共和国国家发展和改革委员会 中华人民共和国国家质量监督检验检疫总局 中华人民共和国国家认证认可监督管理委员会联合发布文件,1
产品认证机构通用要求,1
节能低碳产品认证部际协调工作机制相关工作规程,1
节能、低碳产品认证规则,1
地方质量技术监督局和地方出入境检验检疫局,1
中华人民共和国相关法律、行政法规和部门规章,1
国家认证认可监督管理委员会关于认证规则备案管理的规定,1
国家发展改革委、国家认监委于2013年2月18日制定发布的《低碳产品认证管理暂行办法》,1
中华人民共和国地方专业纤维检验机构,1
中国纤维质量监测中心,1
中华人民共和国国家标准、中华人民共和国地方标准和国家的有关规定,1
中华人民共和国国家标准、中华人民共和国行业标准、中华人民共和国地方标准以及技术规范,1
中华人民共和国国家标准、中华人民共和国行业标准、中华人民共和国地方标准、中华人民共和国技术规范,1
中华人民共和国国家有关标注标识的其他规定,1
国家知识产权局规章,1
中华人民共和国知识产权管理部门,1
计算机信息网络国际联网管理暂行规定,1
中华人民共和国公安部监制备案表,1
中国版权保护中心制定的统一表格,1
国际标准A4型纸张尺寸规范,1
中华人民共和国国家版权局与中华人民共和国国务院价格主管部门联合发布的收费标准规定文件,1
中国版权保护中心关于计算机软件著作权登记的管理规定,1
中国版权保护中心公告,1
中华人民共和国依法管理的计量器具目录,1
中华人民共和国标准物质管理办法,1
中华人民共和国计量授权管理办法,1
国家质量监督检验检疫总局制定的型式评价技术规范,1
中华人民共和国国家计量检定规程,1
中华人民共和国国家质量监督检验检疫总局或省级质量技术监督部门,1
计量违法行为处罚细则,1
中华人民共和国进口计量器具监督管理办法,1
中华人民共和国国家认可的检测方法和标准,1
中华人民共和国法律法规和海关总署有关规定,1
国家认证认可监督管理部门能力验证规定,1
中华人民共和国缔结或者参加的双边或者多边条约、协定和其他具有条约性质的文件,1
中华人民共和国国家技术规范的强制性要求,1
中华人民共和国海关总署相关规定,1
口岸查验的相关规定,1
国家质量监督检验检疫总局关于发布《进口旧机电产品检验监督程序规定》的公告,1
世界贸易组织关于实施卫生和植物卫生措施协定,1
中华人民共和国进境一、二类动物传染病寄生虫名录,1
世界动物卫生组织（WOAH）国际标准、准则和建议,1
国际植物保护公约（IPPC）,1
